state,date,sex,age,ethnicity,population
Johor,2024-01-01,both,overall,overall,4184.4
Kedah,2024-01-01,both,overall,overall,2217.1
Kelantan,2024-01-01,both,overall,overall,1887.9
Melaka,2024-01-01,both,overall,overall,1046.7
Negeri Sembilan,2024-01-01,both,overall,overall,1239.5
Pahang,2024-01-01,both,overall,overall,1667.7
Perak,2024-01-01,both,overall,overall,2569.4
Perlis,2024-01-01,both,overall,overall,296.8
Pulau Pinang,2024-01-01,both,overall,overall,1800.5
Sabah,2024-01-01,both,overall,overall,3742.0
Sarawak,2024-01-01,both,overall,overall,2517.5
Selangor,2024-01-01,both,overall,overall,7362.7
Terengganu,2024-01-01,both,overall,overall,1231.5
Kuala Lumpur,2024-01-01,both,overall,overall,2067.5
Labuan,2024-01-01,both,overall,overall,100.8
Putrajaya,2024-01-01,both,overall,overall,120.3
